"DATA","DESCRIZIONE","COSTO","TIPO SPESA","FORNITORE","CATEGORIA","DESTINAZIONE","METODO PAGAMENTO","PAGATO","AZIONI"
"01/01/2025","FATTURA 42B8DAE0-0037 (CANONE REGIONDO GENNAIO 2025)","99,00 €","Fissi","Regiondo","Sito","Azienda","Bonifico","","   "
"02/01/2025","FATTURA AQ09902721","82,50 €","Fissi","Vodafone","Gestione","Azienda","Bonifico","","   "
"05/01/2025","FATTURA 3 (AFFITTO UFFICI GENNAIO 2025)","1.200,00 €","Fissi","Peruz","Ufficio","Azienda","Bonifico","","   "
"07/01/2025","FATTURA B_000527885/2024","12,93 €","Variabili","Easy Park Italia srl","Gestione","Azienda","Bonifico","","   "
"07/01/2025","FATTURA V2-638716 (RATA 9 DI 29 CANONE LEASING APPLE LAPTOP MACBOOK AIR MARCELLO)","61,38 €","Fissi","Banca Ifis APPLE","Gestione","Azienda","Bonifico","","   "
"07/01/2025","FATTURA MC10494635","136,61 €","Fissi","Mailchimp","Pubblicità","Azienda","Bonifico","","   "
"09/01/2025","NOTA DI CREDITO 1 A STORNO DELLA FT. 533 DEL 18/12/24 CAUSA ERRATA INTESTAZIONE","791,33 €","Variabili","Cervatto law and business","Legali","Azienda","Bonifico","","   "
"09/01/2025","FATTURA 560 (COMPENSI PER DECRETO INGIUNTIVO APT24)","791,33 €","Variabili","Cervatto law and business","Legali","Azienda","Bonifico","","   "
"10/01/2025","FATTURA IT25-AEUI-319502 (AUTORADIO PER GHIBLI)","97,55 €","Variabili","Amazon","Acquisto nuovo","Ghibli","Bonifico","","   "
"10/01/2025","FATTURA 2024/2770V2 (SPEDIZIONE TESSUTI PER REPOWER)","9,92 €","Variabili","Mail Boxes etc","Logistica","Repower?","Bonifico","","   "
"10/01/2025","FATTURA 2/001 (PROVVIGIONE PER NUOVO CONTRATTO DI LOCAZIONE UFFICI)","280,00 €","Variabili","Mondo Immobiliare","Provvigioni","Azienda","Bonifico","","   "
"10/01/2025","FATTURA 4 (COMPENSO PAGHE QUARTO TRIMESTRE 2024)","1.997,24 €","Fissi","Fanti Andrea","Contabilità","Azienda","Bonifico","","   "
"10/01/2025","FATTURA IT50002S5BRT7I (IPAD RICONDIZIONATO PER MAGIA)","163,11 €","Fissi","Amazon","Acquisto nuovo","Magia","Bonifico","","   "
"10/01/2025","FATTURA IT50002S5BRT7I (IPAD RICONDIZIONATO PER BECOME)","163,11 €","Fissi","Amazon","Acquisto nuovo","Become","Bonifico","","   "
"10/01/2025","FATTURA IT50002S5BRT7I (IPAD RICONDIZIONATO PER L'AURORA)","163,11 €","Fissi","Amazon","Acquisto nuovo","L'Aurora","Bonifico","","   "
